schema	kind	frame	raw_tick	ly	line_tick	dot	event	mode	stat	stat_sources	if	ie	lyc	line_dot	lcd_on	irq_edge	model	double_speed	state	x	screen_x	addr	byte	raw_color	palette_kind	palette_reg	palette_value	io_scy	io_scx	io_lcdc	io_wx	io_wy	pos	conflict	write_visible_tick	write_visible_dot	state_block	vram_bank	state_len	state_data
2	ppu_public	60	8962528	0	257	128.5	stat_sample	0	04	00	E0	00	00	128.5	1	0	2	0																						
2	ppu_public	60	8962928	1	0	0.0	stat_sample	2	00	00	E0	00	00	0.0	1	0	2	0																						
2	ppu_public	60	8962928	1	2	1.0	mode2_irq_prepare	0	00	00	E0	00	00	1.0	1	0	2	0																						
2	ppu_public	60	8962936	1	0	0.0	stat_sample	2	02	00	E0	00	00	0.0	1	0	2	0																						
2	ppu_public	60	8962934	1	8	4.0	mode2_enter	2	02	00	E0	00	00	4.0	1	0	2	0																						
2	ppu_public	60	8962936	1	0	0.0	stat_sample	3	02	00	E0	00	00	0.0	1	0	2	0																						
2	ppu_public	60	8963102	1	176	88.0	mode3_enter	3	02	00	E0	00	00	88.0	1	0	2	0																						
2	ppu_public	60	8963096	1	84	42.0	stat_sample	3	03	00	E0	00	00	42.0	1	0	2	0																						
2	ppu_public	60	8963446	1	520	260.0	mode0_enter	0	03	00	E0	00	00	260.0	1	0	2	0																						
2	ppu_public	60	8963440	1	257	128.5	stat_sample	0	00	00	E0	00	00	128.5	1	0	2	0																						
2	ppu_public	60	8963840	2	0	0.0	stat_sample	2	00	00	E0	00	00	0.0	1	0	2	0																						
2	ppu_public	60	8963840	2	2	1.0	mode2_irq_prepare	0	00	00	E0	00	00	1.0	1	0	2	0																						
2	ppu_public	60	8963848	2	0	0.0	stat_sample	2	02	00	E0	00	00	0.0	1	0	2	0																						
2	ppu_public	60	8963846	2	8	4.0	mode2_enter	2	02	00	E0	00	00	4.0	1	0	2	0																						
2	ppu_public	60	8963848	2	0	0.0	stat_sample	3	02	00	E0	00	00	0.0	1	0	2	0																						
2	ppu_public	60	8964014	2	176	88.0	mode3_enter	3	02	00	E0	00	00	88.0	1	0	2	0																						
2	ppu_public	60	8964008	2	84	42.0	stat_sample	3	03	00	E0	00	00	42.0	1	0	2	0																						
2	ppu_public	60	8964358	2	520	260.0	mode0_enter	0	03	00	E0	00	00	260.0	1	0	2	0																						
2	ppu_public	60	8964352	2	257	128.5	stat_sample	0	00	00	E0	00	00	128.5	1	0	2	0																						
2	ppu_public	60	8964752	3	0	0.0	stat_sample	2	00	00	E0	00	00	0.0	1	0	2	0																						
2	ppu_public	60	8964752	3	2	1.0	mode2_irq_prepare	0	00	00	E0	00	00	1.0	1	0	2	0																						
2	ppu_public	60	8964760	3	0	0.0	stat_sample	2	02	00	E0	00	00	0.0	1	0	2	0																						
2	ppu_public	60	8964758	3	8	4.0	mode2_enter	2	02	00	E0	00	00	4.0	1	0	2	0																						
2	ppu_public	60	8964760	3	0	0.0	stat_sample	3	02	00	E0	00	00	0.0	1	0	2	0																						
2	ppu_public	60	8964926	3	176	88.0	mode3_enter	3	02	00	E0	00	00	88.0	1	0	2	0																						
2	ppu_public	60	8964920	3	84	42.0	stat_sample	3	03	00	E0	00	00	42.0	1	0	2	0																						
2	ppu_public	60	8965270	3	520	260.0	mode0_enter	0	03	00	E0	00	00	260.0	1	0	2	0																						
2	ppu_public	60	8965264	3	257	128.5	stat_sample	0	00	00	E0	00	00	128.5	1	0	2	0																						
2	ppu_public	60	8965664	4	0	0.0	stat_sample	2	00	00	E0	00	00	0.0	1	0	2	0																						
2	ppu_public	60	8965664	4	2	1.0	mode2_irq_prepare	0	00	00	E0	00	00	1.0	1	0	2	0																						
2	ppu_public	60	8965672	4	0	0.0	stat_sample	2	02	00	E0	00	00	0.0	1	0	2	0																						
2	ppu_public	60	8965670	4	8	4.0	mode2_enter	2	02	00	E0	00	00	4.0	1	0	2	0																						
